="HDB2029A";="BMBF";="715";="BF";="";="Kerntechnische Entsorgung Karlsruhe GmbH";="08215102";="Eggenstein-Leopoldshafen";="Eggenstein-Leopoldshafen";="Baden-Württemberg";="Deutschland";="Kerntechnische Entsorgung Karlsruhe GmbH";="08215102";="Eggenstein-Leopoldshafen";="Eggenstein-Leopoldshafen";="Baden-Württemberg";="Deutschland";="Hauptabteilung Dekontaminationsbetriebe (HDB)";="ED5000";="Risikobeteiligung Kernenergie";="01.01.2029";="31.12.2029";0,00;="Technologie- und Innovationsförderung";="";="PDIR";
="16TTP133";="BMBF";="414";="PT-VDI/VDE";="TZ-MST";="Technische Universität Ilmenau";="16070029";="Ilmenau";="Ilmenau";="Thüringen";="Deutschland";="Technische Universität Ilmenau";="16070029";="Ilmenau";="Ilmenau";="Thüringen";="Deutschland";="Etablierung des Karrierewegs Tenure-Track-Professur - Technische Universität Ilmenau";="TB0810";="Förderung des wissenschaftlichen Nachwuchses";="01.12.2019";="31.01.2030";9.443.600,00;="Hochschulbau und überwiegend hochschulbezogene Sonderprogramme";="";="PDIR";
="16TTP124";="BMBF";="414";="PT-VDI/VDE";="TZ-MST";="Martin-Luther-Universität Halle-Wittenberg";="15002000";="Halle (Saale)";="Halle (Saale)";="Sachsen-Anhalt";="Deutschland";="Martin-Luther-Universität Halle-Wittenberg";="15002000";="Halle (Saale)";="Halle (Saale)";="Sachsen-Anhalt";="Deutschland";="Etablierung des Karrierewegs der Tenure-Track-Professur - Martin-Luther-Universität Halle-Wittenberg";="TB0810";="Förderung des wissenschaftlichen Nachwuchses";="01.12.2019";="28.02.2030";8.499.240,00;="Hochschulbau und überwiegend hochschulbezogene Sonderprogramme";="";="PDIR";
="16TTP062";="BMBF";="414";="PT-VDI/VDE";="TZ-MST";="Universität Kassel";="06611000";="Kassel";="Kassel";="Hessen";="Deutschland";="Universität Kassel";="06611000";="Kassel";="Kassel";="Hessen";="Deutschland";="Etablierung des Karrierewegs der Tenure-Track-Professur - Universität Kassel";="TB0810";="Förderung des wissenschaftlichen Nachwuchses";="01.12.2019";="31.03.2030";12.276.680,00;="Hochschulbau und überwiegend hochschulbezogene Sonderprogramme";="";="PDIR";
="16TTP115";="BMBF";="414";="PT-VDI/VDE";="TZ-MST";="Technische Universität Chemnitz";="14511000";="Chemnitz";="Chemnitz";="Sachsen";="Deutschland";="Technische Universität Chemnitz";="14511000";="Chemnitz";="Chemnitz";="Sachsen";="Deutschland";="Etablierung des Karrierewegs der Tenure-Track-Professur - Technische Universität Chemnitz";="TB0810";="Förderung des wissenschaftlichen Nachwuchses";="01.12.2019";="31.03.2030";4.721.800,00;="Hochschulbau und überwiegend hochschulbezogene Sonderprogramme";="";="PDIR";
="16TTP071";="BMBF";="414";="PT-VDI/VDE";="TZ-MST";="Technische Universität Carolo-Wilhelmina zu Braunschweig";="03101000";="Braunschweig";="Braunschweig";="Niedersachsen";="Deutschland";="Technische Universität Carolo-Wilhelmina zu Braunschweig";="03101000";="Braunschweig";="Braunschweig";="Niedersachsen";="Deutschland";="Etablierung des Karrierewegs der Tenure-Track-Professur - TU Braunschweig";="TB0810";="Förderung des wissenschaftlichen Nachwuchses";="01.12.2019";="31.03.2030";16.998.480,00;="Hochschulbau und überwiegend hochschulbezogene Sonderprogramme";="";="PDIR";
="16TTP041";="BMBF";="414";="PT-VDI/VDE";="TZ-MST";="Technische Universität Berlin";="11000000";="Berlin";="Berlin";="Berlin";="Deutschland";="Technische Universität Berlin";="11000000";="Berlin";="Berlin";="Berlin";="Deutschland";="Etablierung des Karrierewegs der Tenure-Track-Professur - TU Berlin";="TB0810";="Förderung des wissenschaftlichen Nachwuchses";="01.12.2019";="31.03.2030";16.054.120,00;="Hochschulbau und überwiegend hochschulbezogene Sonderprogramme";="";="PDIR";
="16TTP004";="BMBF";="414";="PT-VDI/VDE";="TZ-MST";="Karlsruher Institut für Technologie (KIT)";="08212000";="Karlsruhe";="Karlsruhe";="Baden-Württemberg";="Deutschland";="Karlsruher Institut für Technologie (KIT)";="08212000";="Karlsruhe";="Karlsruhe";="Baden-Württemberg";="Deutschland";="Etablierung des Karrierewegs der Tenure-Track-Professur - KIT";="TB0810";="Förderung des wissenschaftlichen Nachwuchses";="01.12.2017";="31.03.2030";14.165.400,00;="Hochschulbau und überwiegend hochschulbezogene Sonderprogramme";="";="PDIR";
="16TTP005";="BMBF";="414";="PT-VDI/VDE";="TZ-MST";="Universität Konstanz";="08335043";="Konstanz";="Konstanz";="Baden-Württemberg";="Deutschland";="Universität Konstanz";="08335043";="Konstanz";="Konstanz";="Baden-Württemberg";="Deutschland";="Etablierung des Karrierewegs der Tenure-Track-Professur - Universität Konstanz";="TB0810";="Förderung des wissenschaftlichen Nachwuchses";="01.12.2017";="31.03.2030";8.499.240,00;="Hochschulbau und überwiegend hochschulbezogene Sonderprogramme";="";="PDIR";
="16TTP061";="BMBF";="414";="PT-VDI/VDE";="TZ-MST";="Justus-Liebig-Universität Gießen";="06531005";="Gießen";="Gießen";="Hessen";="Deutschland";="Justus-Liebig-Universität Gießen - Stabsabteilung Planung und Entwicklung";="06531005";="Gießen";="Gießen";="Hessen";="Deutschland";="Etablierung des Karrierewegs der Tenure-Track-Professur - Justus-Liebig-Universität Gießen";="TB0810";="Förderung des wissenschaftlichen Nachwuchses";="01.12.2017";="31.03.2030";16.998.480,00;="Hochschulbau und überwiegend hochschulbezogene Sonderprogramme";="";="PDIR";
="16TTP069";="BMBF";="414";="PT-VDI/VDE";="TZ-MST";="Universität Rostock";="13003000";="Rostock";="Rostock";="Mecklenburg-Vorpommern";="Deutschland";="Universität Rostock";="13003000";="Rostock";="Rostock";="Mecklenburg-Vorpommern";="Deutschland";="Etablierung des Karrierewegs der Tenure-Track-Professur - Universität Rostock";="TB0810";="Förderung des wissenschaftlichen Nachwuchses";="01.12.2019";="30.04.2030";3.777.440,00;="Hochschulbau und überwiegend hochschulbezogene Sonderprogramme";="";="PDIR";
="16TTP001";="BMBF";="414";="PT-VDI/VDE";="TZ-MST";="Albert-Ludwigs-Universität Freiburg";="08311000";="Freiburg im Breisgau";="Freiburg im Breisgau";="Baden-Württemberg";="Deutschland";="Albert-Ludwigs-Universität Freiburg - Gleichstellung, Diversität und akademische Personalentwicklung";="08311000";="Freiburg im Breisgau";="Freiburg im Breisgau";="Baden-Württemberg";="Deutschland";="Etablierung des Karrierewegs der Tenure-Track-Professur - Universität Freiburg";="TB0810";="Förderung des wissenschaftlichen Nachwuchses";="01.12.2017";="31.05.2030";17.942.840,00;="Hochschulbau und überwiegend hochschulbezogene Sonderprogramme";="";="PDIR";
="16TTP055";="BMBF";="414";="PT-VDI/VDE";="TZ-MST";="Technische Universität Hamburg";="02000000";="Hamburg";="Hamburg";="Hamburg";="Deutschland";="Technische Universität Hamburg";="02000000";="Hamburg";="Hamburg";="Hamburg";="Deutschland";="Etablierung des Karrierewegs der Tenure-Track-Professur - Technische Universität Hamburg-Harburg";="TB0810";="Förderung des wissenschaftlichen Nachwuchses";="01.12.2019";="31.08.2030";10.387.960,00;="Hochschulbau und überwiegend hochschulbezogene Sonderprogramme";="";="PDIR";
="16TTP033";="BMBF";="414";="PT-VDI/VDE";="TZ-MST";="Katholische Universität Eichstätt-Ingolstadt";="09176123";="Eichstätt";="Eichstätt";="Bayern";="Deutschland";="Katholische Universität Eichstätt-Ingolstadt";="09176123";="Eichstätt";="Eichstätt";="Bayern";="Deutschland";="Etablierung des Karrierewegs Tenure-Track-Professur - Universität Eichstätt-Ingolstadt";="TB0810";="Förderung des wissenschaftlichen Nachwuchses";="01.12.2019";="31.08.2030";6.610.520,00;="Hochschulbau und überwiegend hochschulbezogene Sonderprogramme";="";="PDIR";
="16TTP111";="BMBF";="414";="PT-VDI/VDE";="TZ-MST";="Universität Trier";="07211000";="Trier";="Trier";="Rheinland-Pfalz";="Deutschland";="Universität Trier";="07211000";="Trier";="Trier";="Rheinland-Pfalz";="Deutschland";="Etablierung des Karrierewegs der Tenure-Track-Professur - Universität Trier";="TB0810";="Förderung des wissenschaftlichen Nachwuchses";="01.12.2019";="30.09.2030";7.554.880,00;="Hochschulbau und überwiegend hochschulbezogene Sonderprogramme";="";="PDIR";
="16TTP132";="BMBF";="414";="PT-VDI/VDE";="TZ-MST";="Universität Erfurt";="16051000";="Erfurt";="Erfurt";="Thüringen";="Deutschland";="Universität Erfurt";="16051000";="Erfurt";="Erfurt";="Thüringen";="Deutschland";="Etablierung des Karrierewegs der Tenure-Track-Professur - Universität Erfurt";="TB0810";="Förderung des wissenschaftlichen Nachwuchses";="01.12.2019";="30.09.2030";6.610.520,00;="Hochschulbau und überwiegend hochschulbezogene Sonderprogramme";="";="PDIR";
="16TTP040";="BMBF";="414";="PT-VDI/VDE";="TZ-MST";="Freie Universität Berlin";="11000000";="Berlin";="Berlin";="Berlin";="Deutschland";="Freie Universität Berlin";="11000000";="Berlin";="Berlin";="Berlin";="Deutschland";="Etablierung des Karrierewegs Tenure-Track-Professur - FU Berlin";="TB0810";="Förderung des wissenschaftlichen Nachwuchses";="01.12.2019";="30.09.2030";20.775.920,00;="Hochschulbau und überwiegend hochschulbezogene Sonderprogramme";="";="PDIR";
="16TTP084";="BMBF";="414";="PT-VDI/VDE";="TZ-MST";="Rheinisch-Westfälische Technische Hochschule Aachen";="05334002";="Aachen";="Aachen";="Nordrhein-Westfalen";="Deutschland";="Rheinisch-Westfälische Technische Hochschule Aachen";="05334002";="Aachen";="Aachen";="Nordrhein-Westfalen";="Deutschland";="Etablierung des Karrierewegs der Tenure-Track-Professur - RWTH Aachen";="TB0810";="Förderung des wissenschaftlichen Nachwuchses";="01.12.2019";="30.09.2030";18.887.200,00;="Hochschulbau und überwiegend hochschulbezogene Sonderprogramme";="";="PDIR";
="16TTP080";="BMBF";="414";="PT-VDI/VDE";="TZ-MST";="Universität Osnabrück";="03404000";="Osnabrück";="Osnabrück";="Niedersachsen";="Deutschland";="Universität Osnabrück";="03404000";="Osnabrück";="Osnabrück";="Niedersachsen";="Deutschland";="Etablierung des Karrierewegs der Tenure-Track-Professur - Universität Osnabrück";="TB0810";="Förderung des wissenschaftlichen Nachwuchses";="01.12.2019";="30.09.2030";8.499.240,00;="Hochschulbau und überwiegend hochschulbezogene Sonderprogramme";="";="PDIR";
